Taxa	"Shannon Diversity (Pathoscope), all coverages"	"Shannon Diversity (Pathoscope), coverage >  1%"	"Sepcies observed (Pathoscope), all coverages"	"Sepcies observed (Pathoscope), coverage >  1%"
MET0001	2.417469702	2.108938992	818	73
MET0002	1.982491888	1.912001935	1156	152
MET0009	0.340565853	0.323261316	671	52
MET0011	0.537019024	0.502612943	595	48
MET0012	0.615024045	0.583180686	572	38
MET0013	1.072124935	1.044501894	652	75
MET0014	0.513368988	0.497517852	461	32
MET0015	0.201843601	0.151727466	363	24
MET0016	2.216334981	2.148757961	865	79
MET0017	2.061210842	2.009275759	514	39
MET0020	3.498838734	3.232301025	926	118
MET0021	3.79444526	3.637302366	951	124
MET0022	2.222556986	1.97344073	969	139
MET0023	2.956212926	2.656394288	1027	150
MET0024	2.155908825	2.122992103	695	57
MET0025	1.906446712	1.860921593	878	77
MET0026	0.838972581	0.812509615	727	58
MET0027	0.080350081	0.066986265	435	22
MET0028	2.593641294	2.456531678	908	112
MET0050	0.315980671	0.309143555	274	14
MET0051	2.153905396	1.985982977	269	17
MET0052	0.105534123	0.094741416	463	26
MET0053	1.482503124	1.333741328	317	18
MET0054	2.248142549	2.187646346	878	91
MET0055	1.48143666	1.438518596	637	43
MET0056	2.122340035	2.090627917	402	35
MET0057	0.392624332	0.376517625	377	17
MET0060	0.819910194	0.796419845	438	26
MET0061	0.859808791	0.827758478	457	26
MET0062	1.770272659	1.553146578	838	69
MET0064	2.793799897	2.634156213	1090	171
MET0065	3.445054844	3.233198107	1067	180
MET0066	3.358730758	3.125725309	1056	162
MET0067	0.806879354	0.786334788	721	75
MET0068	3.341448685	3.115343405	739	76
MET0069	0.179006447	0.128659856	284	13
MET0073	1.432823298	1.226802681	410	25
MET0074	0.226029115	0.224102701	391	13
MET0075	0.406926077	0.35498495	360	22
MET0076	1.849572632	1.74597388	539	35
MET0081	1.610533552	1.348882486	395	27
MET0082	1.669151279	1.608470931	561	48
MET0083	3.217310105	3.036121605	1108	136
MET0084	1.697777151	1.662874289	747	54
MET0085	2.399759892	2.304290384	581	32
MET0086	0.908320668	0.855732601	647	39
MET0087	1.517945494	1.208453557	375	19
MET0088	3.370795465	3.121275609	667	63
MET0089	0.784171798	0.769848313	519	46
MET0091	1.006153579	0.983680221	699	69
MET0092	0.957566968	0.936849308	558	55
MET0093	1.19142519	1.161438978	530	44
MET0094	2.838843857	2.793292403	1068	191
MET0095	1.202550458	1.157856464	488	43
MET0096	1.929693795	1.892771565	525	43
MET0097	0.221259444	0.208360752	417	22
MET0100	1.821898347	1.732160664	602	54
MET0102	1.747259337	1.699670772	1012	159
MET0103	3.40061029	3.360866683	1182	234
MET0104	0.519760312	0.517329188	436	36
MET0105	1.394380789	1.375725051	599	59
MET0106	3.174788636	2.990414238	1006	110
