"sobs"	"label"
4	"MET0022"
5	"MET0065"
6	"MET0094"
7	"MET0139"
5	"MET0161"
21	"MET0190"
12	"MET0207"
8	"MET0224"
9	"MET0241"
19	"MET0293"
10	"MET0310"
14	"MET0333"
4	"MET0354"
6	"MET0373"
22	"MET0392"
18	"MET0411"
7	"MET0430"
15	"MET0449"
13	"MET0468"
10	"MET0487"
14	"MET0506"
12	"MET0525"
4	"MET0544"
12	"MET0601"
15	"MET0620"
13	"MET0639"
9	"MET0658"
23	"MET0677"
9	"MET0696"
15	"MET0715"
4	"MET0734"
6	"MET0753"
5	"MET0772"
6	"MET0792"
12	"MET0795"
2	"MET0020"
5	"MET0168"
9	"MET0188"
4	"MET0209"
5	"MET0226"
5	"MET0243"
12	"MET0303"
8	"MET0320"
3	"MET0328"
9	"MET0349"
5	"MET0368"
7	"MET0387"
4	"MET0406"
10	"MET0425"
8	"MET0444"
11	"MET0463"
16	"MET0482"
12	"MET0501"
6	"MET0520"
9	"MET0539"
7	"MET0577"
7	"MET0615"
7	"MET0634"
9	"MET0653"
21	"MET0672"
10	"MET0691"
7	"MET0710"
6	"MET0729"
6	"MET0748"
9	"MET0767"
2	"MET0790"
10	"MET0796"
4	"MET0001"
3	"MET0021"
5	"MET0064"
6	"MET0102"
4	"MET0160"
10	"MET0189"
4	"MET0208"
5	"MET0225"
13	"MET0287"
8	"MET0304"
6	"MET0327"
7	"MET0348"
6	"MET0367"
5	"MET0386"
5	"MET0405"
6	"MET0424"
5	"MET0443"
4	"MET0462"
1	"MET0481"
17	"MET0500"
10	"MET0519"
6	"MET0538"
12	"MET0576"
19	"MET0595"
9	"MET0614"
5	"MET0633"
10	"MET0652"
14	"MET0671"
6	"MET0690"
7	"MET0709"
5	"MET0728"
8	"MET0747"
6	"MET0766"
7	"MET0789"
2	"MET0024"
0	"MET0053"
3	"MET0082"
3	"MET0105"
2	"MET0191"
3	"MET0213"
0	"MET0230"
2	"MET0247"
13	"MET0294"
6	"MET0311"
5	"MET0326"
3	"MET0347"
1	"MET0366"
4	"MET0385"
5	"MET0404"
3	"MET0423"
8	"MET0442"
6	"MET0461"
15	"MET0480"
4	"MET0518"
5	"MET0537"
0	"MET0556"
1	"MET0575"
