"sobs"	"label"
8	"MET0022"
10	"MET0065"
10	"MET0094"
14	"MET0139"
7	"MET0161"
17	"MET0190"
12	"MET0207"
13	"MET0224"
16	"MET0241"
13	"MET0293"
16	"MET0310"
13	"MET0333"
6	"MET0354"
9	"MET0373"
11	"MET0392"
10	"MET0411"
8	"MET0430"
8	"MET0449"
6	"MET0468"
8	"MET0487"
8	"MET0506"
12	"MET0525"
6	"MET0544"
6	"MET0601"
9	"MET0620"
21	"MET0639"
14	"MET0658"
10	"MET0677"
15	"MET0696"
8	"MET0715"
5	"MET0734"
10	"MET0753"
13	"MET0772"
8	"MET0792"
7	"MET0795"
6	"MET0020"
4	"MET0168"
9	"MET0188"
10	"MET0209"
11	"MET0226"
14	"MET0243"
7	"MET0303"
14	"MET0320"
3	"MET0328"
8	"MET0349"
5	"MET0368"
8	"MET0387"
5	"MET0406"
4	"MET0425"
4	"MET0444"
5	"MET0463"
7	"MET0482"
11	"MET0501"
8	"MET0520"
7	"MET0539"
6	"MET0577"
4	"MET0615"
16	"MET0634"
13	"MET0653"
5	"MET0672"
12	"MET0691"
6	"MET0710"
7	"MET0729"
9	"MET0748"
14	"MET0767"
3	"MET0790"
4	"MET0796"
3	"MET0001"
6	"MET0021"
10	"MET0064"
6	"MET0102"
4	"MET0160"
11	"MET0189"
4	"MET0208"
12	"MET0225"
8	"MET0287"
14	"MET0304"
7	"MET0327"
7	"MET0348"
6	"MET0367"
7	"MET0386"
7	"MET0405"
7	"MET0424"
4	"MET0443"
3	"MET0462"
1	"MET0481"
12	"MET0500"
11	"MET0519"
8	"MET0538"
8	"MET0576"
5	"MET0595"
8	"MET0614"
9	"MET0633"
5	"MET0652"
8	"MET0671"
8	"MET0690"
5	"MET0709"
8	"MET0728"
8	"MET0747"
9	"MET0766"
3	"MET0789"
3	"MET0024"
2	"MET0053"
5	"MET0082"
3	"MET0105"
7	"MET0191"
5	"MET0213"
4	"MET0230"
9	"MET0247"
4	"MET0294"
5	"MET0311"
5	"MET0326"
4	"MET0347"
4	"MET0366"
5	"MET0385"
3	"MET0404"
4	"MET0423"
2	"MET0442"
3	"MET0461"
6	"MET0480"
5	"MET0518"
7	"MET0537"
3	"MET0556"
3	"MET0575"
4	"MET0594"
6	"MET0613"
5	"MET0632"
8	"MET0651"
5	"MET0670"
5	"MET0689"
3	"MET0708"
3	"MET0727"
5	"MET0746"
4	"MET0765"
4	"MET0783"
10	"MET0023"
8	"MET0066"
11	"MET0103"
13	"MET0206"
11	"MET0223"
15	"MET0240"
14	"MET0295"
17	"MET0312"
15	"MET0332"
7	"MET0353"
11	"MET0372"
9	"MET0391"
5	"MET0410"
8	"MET0429"
5	"MET0448"
5	"MET0467"
11	"MET0505"
5	"MET0543"
7	"MET0600"
13	"MET0638"
12	"MET0657"
8	"MET0676"
8	"MET0695"
6	"MET0714"
6	"MET0733"
12	"MET0752"
15	"MET0771"
9	"MET0779"
7	"MET0786"
5	"MET0791"
7	"MET0794"
8	"MET0800"
7	"MET0028"
4	"MET0068"
6	"MET0088"
6	"MET0108"
3	"MET0167"
7	"MET0193"
10	"MET0217"
7	"MET0234"
6	"MET0251"
4	"MET0298"
13	"MET0315"
9	"MET0325"
9	"MET0346"
5	"MET0365"
7	"MET0384"
8	"MET0403"
7	"MET0422"
11	"MET0441"
2	"MET0460"
8	"MET0479"
8	"MET0536"
5	"MET0574"
4	"MET0593"
8	"MET0631"
6	"MET0650"
9	"MET0669"
8	"MET0688"
5	"MET0707"
12	"MET0726"
8	"MET0745"
3	"MET0764"
6	"MET0782"
10	"MET0785"
11	"MET0788"
6	"MET0799"
4	"MET0012"
2	"MET0050"
2	"MET0074"
5	"MET0092"
5	"MET0136"
2	"MET0162"
2	"MET0185"
4	"MET0204"
3	"MET0221"
4	"MET0238"
5	"MET0288"
4	"MET0305"
5	"MET0330"
3	"MET0351"
2	"MET0370"
3	"MET0389"
1	"MET0408"
3	"MET0427"
3	"MET0446"
3	"MET0465"
6	"MET0484"
5	"MET0503"
6	"MET0522"
4	"MET0541"
4	"MET0560"
3	"MET0579"
2	"MET0598"
3	"MET0617"
4	"MET0636"
3	"MET0655"
4	"MET0674"
3	"MET0693"
2	"MET0712"
2	"MET0731"
4	"MET0750"
3	"MET0769"
2	"MET0027"
2	"MET0057"
3	"MET0087"
2	"MET0097"
10	"MET0195"
3	"MET0216"
3	"MET0233"
4	"MET0250"
1	"MET0289"
4	"MET0306"
2	"MET0321"
3	"MET0342"
5	"MET0361"
3	"MET0380"
5	"MET0399"
5	"MET0418"
3	"MET0437"
2	"MET0456"
5	"MET0475"
3	"MET0494"
8	"MET0513"
3	"MET0532"
3	"MET0551"
2	"MET0570"
2	"MET0589"
4	"MET0608"
6	"MET0627"
4	"MET0646"
3	"MET0665"
3	"MET0684"
2	"MET0703"
1	"MET0722"
3	"MET0760"
5	"MET0011"
3	"MET0061"
2	"MET0073"
6	"MET0091"
2	"MET0166"
4	"MET0184"
8	"MET0203"
3	"MET0220"
5	"MET0237"
5	"MET0290"
6	"MET0307"
5	"MET0322"
4	"MET0343"
3	"MET0362"
3	"MET0381"
3	"MET0400"
2	"MET0419"
3	"MET0438"
3	"MET0457"
8	"MET0476"
5	"MET0495"
8	"MET0514"
3	"MET0533"
4	"MET0552"
3	"MET0571"
5	"MET0590"
6	"MET0609"
4	"MET0628"
4	"MET0647"
5	"MET0666"
4	"MET0685"
6	"MET0704"
3	"MET0723"
7	"MET0742"
8	"MET0761"
6	"MET0013"
6	"MET0062"
3	"MET0075"
5	"MET0100"
4	"MET0137"
3	"MET0186"
6	"MET0205"
4	"MET0222"
4	"MET0239"
4	"MET0291"
3	"MET0308"
4	"MET0329"
3	"MET0350"
5	"MET0369"
3	"MET0388"
1	"MET0407"
1	"MET0426"
2	"MET0445"
2	"MET0464"
5	"MET0483"
5	"MET0502"
2	"MET0521"
3	"MET0540"
2	"MET0559"
1	"MET0597"
1	"MET0616"
4	"MET0635"
6	"MET0654"
4	"MET0673"
3	"MET0692"
1	"MET0711"
2	"MET0730"
3	"MET0749"
3	"MET0768"
2	"MET0793"
3	"MET0009"
3	"MET0060"
2	"MET0069"
3	"MET0089"
6	"MET0134"
