Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU041.CDS.10636311898.1_sVCU041.polypeptide.10636311896.1_putative;seqs=4;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636625421.1_sBVS058A4.polypeptide.10636625423.1_HNH;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sFRI909.CDS.10481429707.1_sFRI909.polypeptide.10481429706.1_phage;seqs=1;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU128.CDS.10636297262.1_sVCU128.polypeptide.10636297261.1_WXG100;seqs=3;	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM095.CDS.10636202561.1_sNIHLM095.polypeptide.10636202563.1_conserved;seqs=11;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679410974.1_sNIH05001.polypeptide.10679410972.1_hypothetical;seqs=4;	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sSK135.CDS.10481266820.1_sSK135.polypeptide.10481266821.1_bacterial;seqs=7;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=s141R1SE.CDS.10496048675.1_s141R1SE.polypeptide.10496048674.1_conserved;seqs=4;	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM067.CDS.10655564852.1_sNIHLM067.polypeptide.10655564850.1_conserved;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM061.CDS.10655615405.1_sNIHLM061.polypeptide.10655615404.1_hypothetical;seqs=5;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM003.CDS.10679468595.1_sNIHLM003.polypeptide.10679468602.1_nitrilotriacetate;seqs=2;	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM057.CDS.10655587243.1_sNIHLM057.polypeptide.10655587241.1_hypothetical;seqs=1;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM003.CDS.10679473565.1_sNIHLM003.polypeptide.10679473563.1_nitrilotriacetate;seqs=2;	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM020.CDS.10668326793.1_sNIHLM020.polypeptide.10668326790.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM031.CDS.10668342610.1_sNIHLM031.polypeptide.10668342613.1_heme;seqs=4;	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU117.CDS.10636219792.1_sVCU117.polypeptide.10636219795.1_conserved;seqs=1;	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636426401.1_sVCU120.polypeptide.10636426402.1_initiator;seqs=7;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM003.CDS.10679483309.1_sNIHLM003.polypeptide.10679483311.1_putative;seqs=2;	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655610800.1_sNIHLM053.polypeptide.10655610799.1_type;seqs=8;	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
